Rank,Model,Cat,DIST,ACF,BT,Composite
1,PHS,HS,0.8917,0.8429,0.5526,2.2872
2,AR-RET,PM,1.0,0.987,0.5527,2.5396
3,GARCHt-RET,PM,1.0,0.9286,0.6239,2.5525
4,CWGAN,NN,1.0,0.9758,0.5802,2.556
5,FHS,HS,1.0,0.8373,0.8824,2.7196
6,VAE,NN,1.0,0.9813,1.3973,3.3786
7,CGAN-FC,NN,1.0,0.92,1.4671,3.3872
8,CGAN-LSTM,NN,1.0,0.9967,1.7153,3.712
